externalId,name,latitude,longitude,altitude
210,Valkenburg,52.171,4.43,-0.2
235,De Kooy,52.928,4.781,1.2
240,Schiphol,52.318,4.79,-3.3
242,Vlieland,53.241,4.921,10.8
249,Berkhout,52.644,4.979,-2.4
251,Hoorn Terschelling,53.392,5.346,0.7
257,Wijk aan Zee,52.506,4.603,8.5
260,De Bilt,52.1,5.18,1.9
265,Soesterberg,52.13,5.274,13.9
267,Stavoren,52.898,5.384,-1.3
269,Lelystad,52.458,5.52,-3.7
270,Leeuwarden,53.224,5.752,1.2
273,Marknesse,52.703,5.888,-3.3
275,Deelen,52.056,5.873,48.2
277,Lauwersoog,53.413,6.2,2.9
278,Heino,52.435,6.259,3.6
279,Hoogeveen,52.75,6.574,15.8
280,Eelde,53.125,6.585,5.2
283,Hupsel,52.069,6.657,29.1
286,Nieuw Beerta,53.196,7.15,-0.2
290,Twenthe,52.274,6.891,34.8
310,Vlissingen,51.442,3.596,8
319,Westdorpe,51.226,3.861,1.7
323,Wilhelminadorp,51.527,3.884,1.4
330,Hoek van Holland,51.992,4.122,11.9
340,Woensdrecht,51.449,4.342,19.2
344,Rotterdam,51.962,4.447,-4.3
348,Cabauw,51.97,4.926,-0.7
350,Gilze-Rijen,51.566,4.936,14.9
356,Herwijnen,51.859,5.146,0.7
370,Eindhoven,51.451,5.377,22.6
375,Volkel,51.659,5.707,22
377,Ell,51.198,5.763,30
380,Maastricht,50.906,5.762,114.3
391,Arcen,51.498,6.197,19.5
